title,username,feedback,rating,date,id
Great Learning and Work,Senior Software Engineer in Pune,"Pros:Writing review As a Software developer in the Development team - 1. Good Work Ethics 2. Professional people at Management and Lead position. 3. Learning curve is great as good people are recruited at higher levels who are helpful and appreciating 4. Pay is nice if you can negotiate well. Cons:1. Not many benefits associated with Salary package. 2. No Technical upskill reimbursement 3. Dependencies on US-EU teams, requires working more than 9 hours a day. Advice to Management:Add benefits and more allowances to salary package",4,2023-11-29T00:00:00.000Z,82168282
Great opportunities,"Operations Trainee in Heidelberg, Baden-Wurttemberg",Pros:Very motivated to be the best! Cons:Change takes time to happen.,5,2023-11-19T00:00:00.000Z,81938881
Many opportunities to grow,"IT Manager in Decatur, IL",Pros:ADM as one of the world's largest agricultural processors and nutrition based companies offers so many areas to grow your career and experiences. A lot of focus on employee continuous improvement. Cons:Some divisions or projects you may run into some micro-managers.,5,2023-11-15T00:00:00.000Z,81835387
Pays Well,"Recruiter in Albany, GA",Pros:Decent pay Good benefits Work with limited supervision Cons:No organization No advancement Little to no leadership engagement,3,2023-10-16T00:00:00.000Z,80993808
Leadsperson at Colton Terminal,"Team Lead in Colton, CA","Pros:good benefits time off, holidays Cons:work environment can be negative at times",4,2023-10-14T00:00:00.000Z,80946228
Process Engineer at ADM,"Process Engineer in London, England","Pros:Amazing people, Career growth opportunities and good access to training for professional development Cons:Work culture could be better, Salary could be better",4,2023-10-02T00:00:00.000Z,80576157
Beware,"Anonymous Employee in Erith, England","Pros:Exposure to global world of agriculture from one of the biggest players Cons:Backwards technology, accounting and anything related to IT. Refusal to adapt technology and modern methods of tracking data creating spirals of issues and inefficient use of time from high level managers to junior roles",3,2023-09-27T00:00:00.000Z,80466968
Overall experience starting from bottom to here/straight rotations,"Prep Operator in Lincoln, NE","Pros:Money, overtime, requirements, white, timeoff Cons:Lack of training, rotating shifts Advice to Management:Add sick time off instead of point system. Additional pay based off experience i.e relief pay is slightly less than main operator. More pay for those in extraction due to overall risk to hazardous material(haxane exposure)",3,2023-12-03T00:00:00.000Z,82285280
Descent,"Scale Operator in Grand Ledge, MI",Pros:Different type of job environment Cons:Hours were 12-14 hours daily,3,2023-11-29T00:00:00.000Z,82194741
Excellent,Property Administrator,Pros:Good environment Good people Easy to find shop to eat Cons:Far from home No public transport,5,2023-11-14T00:00:00.000Z,81815493
Steam time,Student Worker,Pros:Friendly environment to work in Cons:Plant looks little old and dusty,5,2023-11-11T00:00:00.000Z,81742329
"Decent company, no upward mobility","Marketing Intern in Erlanger, KY","Pros:Teams are great, people are great, given real work to do, contributing to a team as an intern Cons:Upward mobility is hard to find in Erlanger, RTO is poorly managed (empty office most days)",4,2023-11-01T00:00:00.000Z,81450206
"Good Company, Pay is Not Competitive","Production Engineer in Decatur, IL","Pros:It is a good company to work for, they have a lot of opportunity to learn and grow. A lot of opportunities to be hands on. Relocation and housing is paid for. Cons:Technologically behind and the manufacturing areas. The pay is not as competitive compared to other companies in the same industry. So much nepotism when it comes to the interns that are hired and that some person in their family is a higher up in a location.",4,2023-10-31T00:00:00.000Z,81423164
Depends,"Reliability Engineer Intern in Decatur, IL","Pros:Lots of room for growth within Cons:Unorganized large company, bad locations",4,2023-10-09T00:00:00.000Z,80803312
"If you like being treated bad, this is the place","Chemical Compounder in Erlanger, KY","Pros:Some of the people you work with are great and you can end up with new friendships, the money is solid Cons:The money is solid because you are working constantly and have no time to spend it. Management does not care about you, they care about themselves and treat you as easily replaceable trash. Pizza parties are your reward for record profits, while upper management gets bonuses and raises. You are accosted and shunned if you make the slightest mistake, and somebody else gets praised if you do something well. Advice to Management:Lower management should be forced to work the floor and see what hourly workers do daily and keep that in their heads, upper management should take a short walk off a long pier because they're just yes people who don't care about those beneath them, just the bottom dollar",1,2023-10-07T00:00:00.000Z,80742698
One of the Best,"Data Engineer in Decatur, IL",Pros:The team is nvironment is excellent. Cons:No downsides in my observation,4,2023-10-06T00:00:00.000Z,80721237
International program full of opportunities,Sales & Marketing Trainee in Eppelheim,"Pros:International experience, mid/top management exposure, cross-business overview Cons:Program could be better strucutred",5,2023-10-02T00:00:00.000Z,80588385
Good has potential to be great,Application Technologist,Pros:Good company culture and interesting products. Cons:Unnecessary business structures and slow to make decisions Advice to Management:Be open to new ideas and new ways of thinking,4,2023-12-14T00:00:00.000Z,82591195
Good place to work,"Account Coordinator in Cincinnati, OH","Pros:Good pay, flexibility, management cares in most departments Cons:Corporate bureaucracy, can be slow moving up",5,2023-12-12T00:00:00.000Z,82526884
Great experience,Intern in Ho Chi Minh City,"Pros:Good learning path towards agriculture & aquaculture and their application in business, friendly colleagues, central office Cons:Didn't think of anything. So far so good.",5,2023-12-08T00:00:00.000Z,82433681
Solid but highly stressful environment,"Director Procurement in Decatur, IL","Pros:Solid, safe and offers great opportunities to learn. Cons:Understaffed and super competitive, resulting in a stressful working environment.",3,2023-11-30T00:00:00.000Z,82206356
Review,"Accountant in Decatur, IL","Pros:Big corporation, a lot of knowledge. Cons:Too low rises because the whole company is evaluated. Advice to Management:Manage regionaly",4,2023-11-13T00:00:00.000Z,81770729
Contractor for ADM,"Process Coordinator in Decatur, IL",Pros:friendly and open environment with options for networking Cons:not as much pay as a contractor,5,2023-11-06T00:00:00.000Z,81594619
Great,Production Operator,Pros:All around good place to work. Cons:I was let go. And wish I didn't let car and legal issues get in my way. All been taken care of since.,5,2023-10-28T00:00:00.000Z,81354946
Overall good place to work,Data Analyst,Pros:Payed well Good benefits Lots of opportunity Cons:Overwhelming for entry level position,4,2023-10-28T00:00:00.000Z,81343359
Okay to work for,"Production Supervisor in Nebraska City, NE","Pros:Of the few pro's the benefits package takes the cake. Cons:Of them many downsides, the inconsistency of the industry leaves much to be desired. Fake family atmosphere. Advice to Management:Be better with people.",4,2023-10-26T00:00:00.000Z,81305617
great place,"Trader in Chicago, IL",Pros:good colleagues great culture challenging work Cons:management can be abit stiff,4,2023-10-26T00:00:00.000Z,81282976
Nah,Material Handler,Pros:Decent pay Paid overtime in Ag Cons:No chance for promotion No education opportunity Unstable management Poor safety Micromanagement Advice to Management:Let people do their jobs and be honest with your workers.,1,2023-10-21T00:00:00.000Z,81153068
Passive aggressive culture,Project Manager,Pros:Encouraged cross functional team work. Cons:Lack of new hire training. Lack of empathy. Huge generation gap. Very passive aggressive culture. Very little to no diversity. Advice to Management:Actually implement training for new employees. Agribusiness is a field that is very intricate and in depth training would help employees to understand their roles and the business fundamentals.,2,2023-10-19T00:00:00.000Z,81108629
Opportunities aplenty,Talent Acquisition Specialist in Singapore,"Pros:Fantastic culture of open communication upwards/downwards and cross-functionally. Cultural melting pot with more than 20 nationalities which allows for multiple perspectives - overall positive win for cross collaboration. Cons:Processes can get muddy and non-existent at times, but therein lies the opportunity to establish things from scratch. Advice to Management:Continue the good work of engaging with your employees!",4,2023-10-19T00:00:00.000Z,81077006
"Good company, I hate the red tape","Process Improvement Engineer in Erlanger, KY","Pros:Chill work life balance, good benefits, interesting projects Cons:Some managers need to be fired since they are creating problems that other departments have to clean up",4,2023-10-17T00:00:00.000Z,81028206
Love it,Runner,Pros:Love it! Glad to be here Cons:Work to much. Schedule should be different,4,2023-09-28T00:00:00.000Z,80500302
Good company,Graduate Trainee in Hamburg,Pros:They care about their employees Cons:You have to show interest to grow inside,5,2023-09-27T00:00:00.000Z,80452201
Good job out of college,"Process Engineer in Clinton, IA","Pros:nice people and upward mobility Cons:overworked lots of learning on the job, high tolerance for risk",5,2023-09-26T00:00:00.000Z,80430418
Good place to work in,Finance Manager,"Pros:Good people to work with. Cons:Business is inherently cyclical, struggling with integrations of acquisitions and monetising them.",5,2023-09-18T00:00:00.000Z,80185237
Behind the curve,"Anonymous Employee in Erlanger, KY","Pros:Company employs some great people, and offers a flexible work schedule. Cons:struggling on tech & data integration for all its businesses. Advice to Management:Needs reorg and new leadership to help drive change",3,2023-09-17T00:00:00.000Z,80152433
Would not go back,"Anonymous Employee in Winnipeg, MB","Pros:Large company, opportunities if willing to leave regional area. Cons:Company is very large so the small regions get forgotten about. If you aren't a buyer, you aren't a priority. Staff weren't to interested about supporting moving around in the company.",2,2023-09-08T00:00:00.000Z,79881657
Nightmare workplace,"Machine Operator in Calgary, AB",Pros:Nothing is positive at that place Cons:Toxic workplace to work there Advice to Management:Change plant management,1,2023-09-07T00:00:00.000Z,79861645
Great Learning Opportunity,Mill Superintendent,"Pros:- great opportunity to learn, grow, and advance in the career if willing to move/switch roles every 2 to 3 years - great people: always willing to help/teach/mentor Cons:- Salary growth very slow if are not able to move around to different locations/roles and is a source of frustration for HIPO employees when compared relative to market: end up leaving - Work/Life balance can be challenging to maintain due to age of the facilities and how much needs to get done Advice to Management:- EC needs to prioritize employees that have stuck around with ADM: reviewing their compensation relative to the market - need a more structured process for merit and compensation reviews.",4,2023-08-09T00:00:00.000Z,78989001
Nice place to work,Director in Nairobi,"Pros:performance driven culture, work ethic, ability to execute Cons:Too many senior leaders at the top few people working",4,2023-07-31T00:00:00.000Z,78732341
Forklift Operator,"Forklift Operator in Erlanger, KY","Pros:Great place to work for! Cons:Overtime, if you are not interested in extra hours.",5,2023-07-31T00:00:00.000Z,78713733
Good environment,"Anonymous Employee in Decatur, IL","Pros:Close to home, free parking Cons:Not challenging enough for me",4,2023-07-25T00:00:00.000Z,78574638
great place to work,Buyer,Pros:very well rounded place of employment Cons:need to increase pay towards employees,5,2023-07-25T00:00:00.000Z,78552951
Ok Company,"Shift Supervisor in Cedar Rapids, IA","Pros:Safety culture is fanatic and good pay. Cons:You have to be part of a small group to be promoted. Advice to Management:Develop people, Values people",4,2023-07-24T00:00:00.000Z,78535627
not good for growth..,Intern,Pros:- chill culture - work-life balance - nice office Cons:- too chill that there's no space for personal growth or value adding at all - not good for someone looking to learn - don't really care about their interns and treat them like cheap labour - super exclusive,1,2023-09-18T00:00:00.000Z,80167501
Internship,Internship in Rolle,Pros:Environment encourages you to not be afraid to make mistakes while you learn new things Cons:Stressful job and work-life balance could be improved Advice to Management:Hire a coach for employees,4,2023-09-25T00:00:00.000Z,80375621
This company takes a toll on health,"Production in Fort Collins, CO","Pros:Three day weekends; early quitting time. Cons:If I could give a 0 on company culture, I would; this company is the very definition of toxic work environment. Favoritism; sexual harassment; and bullying, up to and including throwing work items at staff who ask job-related questions and name calling (all of the above happened to me) are condoned and nothing is done to hold Operators and Leads accountable for how they treat those individuals working below them. I was constantly walking on eggshells wondering when the next comment or unethical behavior was going to occur. Advice to Management:There is no advice; if ADM wanted to change its culture, it would have done so a long time ago.",1,2023-09-23T00:00:00.000Z,80345685
Disorganized,"Production in Memphis, TN",Pros:None that I can think of Cons:Lots of rats and no management direction. Dangerous and unsafe.,1,2023-09-22T00:00:00.000Z,80328950
Audit Intern Review,"Audit Intern in Decatur, IL","Pros:Great Benifits, Welcoming management, i felt like everyone really cared and loved the company. Cons:HR can be distant, intern pay was alright",4,2023-09-21T00:00:00.000Z,80307644
It was ok,"Commercial Trainee in Decatur, IL",Pros:Cheap Cost of Living was nice Cons:Have to live in the worst areas,2,2023-09-20T00:00:00.000Z,80261873
Good employer,Senior Internal Auditor in Hamburg,Pros:Stable company Good company culture Cons:Very American if that is a con for you Advice to Management:None,4,2023-09-20T00:00:00.000Z,80243623
ADM Nigeria Work Experience,Finance Controller in Lagos,Pros:- Multinational structure - Flexible working hours - Salaries paid on time Cons:- Toxic work environment - Foreign top line disconnect - High workforce turnover Advice to Management:- Improve new staff onboarding - Provide internal policies implementation guidelines - Top management should keep their promises,3,2023-09-18T00:00:00.000Z,80190419
GREAT EXPERIENCE,Corporate Development Intern in Singapore River,"Pros:- Manager/Directors there is great - People are very friendly - Chill culture, but they are driven in their work - Good exposure to M&A / JV investments Cons:- Team is a bit small, so you might do things outside of just working on M&A/JV deals",5,2023-09-08T00:00:00.000Z,79898935
Good place to work,"Reliability Engineer in Cedar Rapids, IA","Pros:Good pay and benefits. Management was good. Cons:As a contractor, term was too short.",4,2023-08-23T00:00:00.000Z,79418620
All good,"Product Manager in Chicago, IL",Pros:Good pay and good benefits Cons:HR will throw you under the bus,3,2023-08-23T00:00:00.000Z,79418463
BB,Accountant,"Pros:Good management, good workplace, good location Cons:no growth opportunity, no salary rowth opportunity",3,2023-08-23T00:00:00.000Z,79396283
ADM,"Grower Relations Associate in Bay City, MI",Pros:Management treated employees well and it was laid back. Cons:Limited to specific areas within the state.,5,2023-08-21T00:00:00.000Z,79346084
good company,Anonymous Employee,Pros:good company to work for. Cons:nothing to say about it.,5,2023-08-14T00:00:00.000Z,79124100
"Overall a great platform, but it's frustrating how slow things get done","Research Engineer in Decatur, IL",Pros:- Great benefit - Great work-life balance - Nice people to work with - World-class platform for Food and Nutrition Cons:- The politics in some part of the company can make the environment real toxic and drive away people who are truly talented. - Re-structuring of the organization every few years makes inconsistency of a lot of initiatives and projects,4,2023-08-10T00:00:00.000Z,79028705
ADM,"Gerente compras, logistica y almacen","Pros:Great Company to work, respectfull Cons:no cons from my end",5,2023-08-09T00:00:00.000Z,78999280
Good Place to work,"Process Engineer in Decatur, IL",Pros:Good place to work nice benefits Cons:Too much politics to handle. Headquaters,4,2023-08-07T00:00:00.000Z,78935125
Great Career,"Loader/Unloader in Enderlin, ND","Pros:Great People!!!!! Like no other!!! Very comfortable, family oriented community in the town of Enderlin. GREAT PAY. FLEXIBILITY. Really grow in a secure career. Very competitive overall people wanna see you win and grow there. Cons:Got to have a solid plan if you not from those parts. Lots of driving and back and forth commuting for shelter. Overall company is great no cons on their end. Advice to Management:Room and board for out of town people.",5,2023-07-24T00:00:00.000Z,78528437
No work-life balance,"Quality Assurance in Decatur, IL",Pros:The pay was pretty alright Cons:Expect to have no autonomy or respect. You will be owned by them if you work for them. Advice to Management:Respect your employees and drop the swing shift.,1,2023-07-22T00:00:00.000Z,78487350
Great,Project Manager,Pros:Involve in large capital projects Cons:looking for a permanent role,5,2023-07-19T00:00:00.000Z,78407479
Working at ADM,Research and Development Manager,"Pros:Career opportunity - offer growth, skill development, stability, networking, recognition, benefits, challenging work, mentorship, and long-term prospects for employees. Cons:Bureaucratic company, so with a lot of rules, and formal procedures, offering stability but potentially hindering adaptability and innovation.",3,2023-09-13T00:00:00.000Z,80039787
Good company to work for,"Director in Erlanger, KY","Pros:ADM creates great products for food and beverages. Cons:If you do not promote yourself and bring attention to what you contribute to the company, you may not get promoted as you should. Advice to Management:Understand what your employee contributes to the company and recognize their efforts.",5,2023-09-18T00:00:00.000Z,80165142
Ok,"Lab Technician in Erith, England",Pros:Decent pay for work - easy work Cons:Hiring was through knowing someone who already worked there on the most part.,3,2023-09-14T00:00:00.000Z,80055934
So old school,"Associate - Junior Trader in London, England","Pros:Pay increases and get to learn Cons:Very old school, mostly men and the culture revolves around men. Women are stuck in lower roles.",2,2023-09-12T00:00:00.000Z,79988591
Good work,Environmental Specialist,Pros:Good people at the hourly level Cons:They can be frugal with money,4,2023-09-08T00:00:00.000Z,79888369
Ok,"Project Manager in Clinton, IA",Pros:Work is looking good now Cons:Pay should be alot higher,5,2023-08-17T00:00:00.000Z,79246887
Just a number,Senior Electrical Engineer,"Pros:Decent benefits and compensation, steady work. Cons:Work Life balance. Antiquated facilities. Antiquated equipment You are just a number. Advice to Management:Look at the operational environment that production has to deal with.",1,2023-08-14T00:00:00.000Z,79121254
Good until it wasn't,Assistant Chemist,Pros:Good pay Good hours Frequent Raises and benefits Cons:Management favors certain employees Techniques/Rules vary by person,3,2023-09-13T00:00:00.000Z,80030186
Maintenance advancement.,"Maintenance in Memphis, TN","Pros:The pay is competitive, benefits are good, start with 3 weeks of vacation. Cons:Very old plant, and equipment.",3,2023-09-13T00:00:00.000Z,80022145
Big Corporation,Manager,Pros:Good Benefits and decent pay Cons:You are just a number Advice to Management:Cover yourself and get everything in writing,2,2023-09-12T00:00:00.000Z,79990657
Can do better,Forklift Operator,"Pros:Monday through Friday and paid lunch. Cons:Low pay, lack of appreciation, and incompetent people in management.",1,2023-09-09T00:00:00.000Z,79911951
Load rail cars,"Feedhouse utility in Decatur, IL",Pros:Basically just the pay and benefits Cons:Terrible foreman’s that know nothing Advice to Management:Fire all foreman’s and let the people that know the jobs run it,4,2023-09-08T00:00:00.000Z,79897218
Work Life Balance,"Candidate Care Coordinator in Decatur, IL","Pros:Remote, schedule flexibility, career opportunities, fair pay Cons:Large company- can be confusing on who to ask for help Advice to Management:More up front training about the offerings ADM has in their benefit package",5,2023-09-04T00:00:00.000Z,79766211
Great Company,"Project Analyst in Ohio City, OH",Pros:Flexibility Compensation Benefits 401(k) Education Reimbursement Cons:NA I’ve enjoyed my time at ADM,5,2023-09-03T00:00:00.000Z,79734616
Fine,Administrative Assistant,Pros:Friendliness of staff and managers Cons:Not enough chances to progress higher,4,2023-08-24T00:00:00.000Z,79442169
GREAT PLACE TO MAKE MONEY,Dispatcher,Pros:This place will set you and your family up for a lifetime. There is ample space and opportunity to grow within the company. Cons:Its an unsafe environment. People aren't looking out for people. The corn dust inhaled is potentially Hazardous Advice to Management:Be more personal you were in our position once. Encourage us to grow with the company and not just treat us like production slaves.,4,2023-08-18T00:00:00.000Z,79273758
Stressful but good pay,"Supervisor in Decatur, IL",Pros:Good pay Good benefits Good safety culture Cons:Stress Poor training Poor management,3,2023-08-03T00:00:00.000Z,78836779
Good Place,Project Modeling Intern,Pros:Nice community. Develop as a person. Cons:Not really any cons for this.,5,2023-07-21T00:00:00.000Z,78465752
Production,Production,Pros:Pay and benefits are alright Cons:Crap talking isn't worth it. Work environment is hell . All about numbers.,1,2023-07-18T00:00:00.000Z,78379231
Experience,Finance Intern,"Pros:ADM is a leader in global nutrition, charged with the goal of unlocking nature and enriching life. Cons:So far, ADM is doing a great job and can definitely do better.",5,2023-07-11T00:00:00.000Z,78144109
Accountant,"Accountant in Decatur, IL","Pros:flexible, engagement, activities, fitness center Cons:The training could be better",4,2023-07-10T00:00:00.000Z,78130179
Good people bad workplace,"Utility Operator in Clinton, IA",Pros:Pay People Workload(MOSTLY) Room for pay advancement Cons:Rotating 12 hour shifts SUCK Slightly understaffed Management disconnect Advice to Management:Please change work schedule its terrible in all aspects,3,2023-07-09T00:00:00.000Z,78094913
ADM IT,"IT Architecht in Erlanger, KY",Pros:Descent Pay and very big company Cons:To large to track t he progress Advice to Management:Overall very big organization and not agile,3,2023-06-29T00:00:00.000Z,77836494
Best Company ever,Sales Manager,Pros:They are employee centric They make life easy with digital tools Cons:Improve process timeline to increase productivity,5,2023-06-10T00:00:00.000Z,77248517
Entry level,"Laborer in Mendota, IL","Pros:Great insurance and overtime opportunities Cons:Long hours, poor working conditions Advice to Management:Make employees feel noticed",3,2023-06-05T00:00:00.000Z,77097521
ADM,Field Inspector in Adelaide,Pros:Good pay for entry positions Cons:Likely to have high intensity days,4,2023-05-30T00:00:00.000Z,76926867
Mutual respect,Anonymous Employee,Pros:There was mutual respect and understanding. A nice place to work. Cons:There is no cons for me.,4,2023-05-23T00:00:00.000Z,76704045
Solid,"HR Professional in Dublin, Dublin",Pros:Nice company and culture Good management Cons:Job can be a bit boring,3,2023-05-22T00:00:00.000Z,76651707
Good Company,"Director in London, England",Pros:Seem to be a relatively stable company Cons:Can be a bit disorganised,3,2023-07-17T00:00:00.000Z,78313723
Great management,Environmental Engineer in Hamburg,Pros:Helpful manager Great food Good team work Cons:Mundane tasks Politics higher ups,3,2023-06-30T00:00:00.000Z,77857835
Terrible Job,"Lab Technician in Decatur, IL","Pros:There are few pros, at best they provide lunch and breakfast affordably. Cons:Poor benefits, bait-and-switch positions, disorganized upper management, little to no proper training or communication, given massive amounts of work with little time to complete it, HR is petty and plays favorites, pay is not reasonable for expectation of responsibility. Advice to Management:Stop treating employees as disposable servants. Stop hiring en masse while being in a hiring freeze and making budget cuts that cut good employees while you're raking in billions per year.",2,2023-07-15T00:00:00.000Z,78283385
Good place to work,"Research Scientist in Decatur, IL",Pros:Good company with inclusive culture Cons:Hard to get projects started Advice to Management:Someone needs to make decisions on project selection. Too many projects go nowhere,4,2023-07-13T00:00:00.000Z,78236641
Awesome,Operator 2,"Pros:Great Pay, benefits, and promotions Cons:Alot of drama between coworkers",5,2023-07-07T00:00:00.000Z,78046150
great place,"Technician in Chicago, IL",Pros:great place to work at Cons:very long hours and pay can be better,4,2023-06-22T00:00:00.000Z,77625330
Yes,Machine Operator,Pros:My experience 14 years pharmacitcals industry medicine manufacturing Cons:Yes I'm interested work and Advice to Management:I'm interested work and I'm honest work anytime,5,2023-06-06T00:00:00.000Z,77118297
Retirement Job,Analyst in Singapore,Pros:Work life balance is good Cons:No opportunity for advancement or growth,2,2023-06-06T00:00:00.000Z,77108115
"good, and want to bigger challenge",Sales Associate,Pros:assist the MES to be on line. Cons:a new and fresh tech company,5,2023-06-04T00:00:00.000Z,77067264
Would not recommend.,Team Leader,Pros:Decent pay and Benefits. The work I was doing was not bad. Cons:Very Poor management and how they handle business.,2,2023-06-02T00:00:00.000Z,77026311
"Don't bother, it's a corperate swamp.",Lab Technician,"Pros:None that I could see Cons:""All for Juan and none for all"" For real, don't bother, they'll take every idea you have while dragging you on, then terminate your position when you give them your notice. Advice to Management:Quit, you're terrible at it.",1,2023-06-02T00:00:00.000Z,77020649
Too many layoffs,"Process Operator in Decatur, IL","Pros:Pay is good for the area Cons:I have worked here for 10 years and have seen 6 different layoff events in that time, too stressful and always worried about your job",2,2023-06-02T00:00:00.000Z,77015079
Good “Career” Company,Anonymous Employee,Pros:Good pay and benefits. Endless room for growth. Cons:Not much based on personal experience.,5,2023-05-31T00:00:00.000Z,76956944
Good,Account mamager in Hyder?b?d,Pros:Best company in india with great support Cons:We can learn lot of things Advice to Management:Good in making projects and managing them,4,2023-05-31T00:00:00.000Z,76951833
Long hours,"Superintendent in Des Moines, IA",Pros:Decent pay and good benefits Cons:Long hours and work environment is from the 1960’s,3,2023-05-28T00:00:00.000Z,76858787
CSR,"Customer Service Representative (CSR) in Decatur, IL",Pros:Nice 401 match and benefits Cons:Slow upperward mobility and small annual adjustments - do not keep up with the inflation rate.,4,2023-05-23T00:00:00.000Z,76708692
Solid job,"Inside Sales Coordinator in Fargo, ND",Pros:Flexibility Chance for movement in position Cons:Large company can get lost in the data.,4,2023-05-22T00:00:00.000Z,76678164
Regulatory,"Regulatory Affairs Associate in Yeovil, England",Pros:Good company to learn. Good people . Very dynamic company Cons:Big company that means lack of procedures or KPIs,5,2023-06-22T00:00:00.000Z,77621599
Review,"Business Intelligence Specialist in Pozna?, Greater Poland",Pros:Positive Work Environment and work culture Cons:Less benefits Old systems and tools for work,4,2023-06-07T00:00:00.000Z,77149674
ADM Internship Review,Internship,"Pros:A company that truly cares for its employees and promotes a positive working environment with support from all team members across different departments. Cons:Truly no cons, it was a great experience to work there.",5,2023-06-04T00:00:00.000Z,77051605
Best wishes and best of luck for coming challenges..,"Anonymous Employee in Sheikh, Punjab","Pros:I am quite satisfied with my current job but now I am looking for a more productive role so I can be able to grow in a terms of future and skills.. Cons:To work in an environment where an opportunity of self-assessment and improvement in both individual & group based jobs that frequently face various critical challenges, which enable me to give positive contribution to the organization Advice to Management:I think all your good management I appreciate you all",3,2023-06-02T00:00:00.000Z,77031601
good job,"Utility Worker in Enderlin, ND",Pros:great people to work with Cons:swing shift is pretty hard to get used to,5,2023-05-31T00:00:00.000Z,76966639
Good,Working Student in Hamburg,Pros:Good environment to work with interesting tasks Cons:Permanent employment not guaranteed. No Bonus,4,2023-05-30T00:00:00.000Z,76916485
Job is hybird,CRS Agent,Pros:Good hours and flexibility weekly Cons:Pension plan was take. Away and health benefits are costly,3,2023-05-22T00:00:00.000Z,76681343
Salary,"HR Specialist in Chicago, IL",Pros:Share some reasons why you work here. Cons:Share some downsides of working here.,5,2023-05-22T00:00:00.000Z,76674560
A great job for a student,Werstudent in Hamburg,Pros:1-Flexible hours 2-Great work environment Cons:1-Nearly Average Salary 2-Wide tasks,5,2023-05-18T00:00:00.000Z,76554632
Great environment and mentorship,Digital Marketing Intern in Ho Chi Minh City,Pros:My boss is nice and supportive in teaching me the technical knowledge Cons:Sometimes I have to work at weird time,5,2023-07-18T00:00:00.000Z,78367884
