id,Feedback,Sentiment,Confidence,Compensation and Benefits,Work Life Balance,Job Security,Culture,Career Path
78552951,very well rounded place of employment need to increase pay towards employees,POSITIVE,99.73%,57.31%,15.39%,8.95%,8.30%,10.05%
78535627,Safety culture is fanatic and good pay. You have to be part of a small group to be promoted. Advice to Management:Develop people  Values people,POSITIVE,99.82%,12.56%,3.86%,31.79%,42.95%,8.85%
80167501,- chill culture - work-life balance - nice office - too chill that there's no space for personal growth or value adding at all - not good for someone looking to learn - don't really care about their interns and treat them like cheap labour - super exclusive,NEGATIVE,99.95%,0.34%,77.57%,0.80%,20.40%,0.88%
80375621,Environment encourages you to not be afraid to make mistakes while you learn new things Stressful job and work-life balance could be improved Advice to Management:Hire a coach for employees,POSITIVE,99.88%,1.65%,81.71%,4.20%,6.18%,6.27%
80345685,Three day weekends; early quitting time. If I could give a 0 on company culture  I would; this company is the very definition of toxic work environment. Favoritism; sexual harassment; and bullying  up to and including throwing work items at staff who ask job-related questions and name calling (all of the above happened to me) are condoned and nothing is done to hold Operators and Leads accountable for how they treat those individuals working below them. I was constantly walking on eggshells wondering when the next comment or unethical behavior was going to occur. Advice to Management:There is no advice; if ADM wanted to change its culture  it would have done so a long time ago.,NEGATIVE,99.95%,0.61%,3.12%,1.25%,92.89%,2.13%
80328950,None that I can think of Lots of rats and no management direction. Dangerous and unsafe.,NEGATIVE,99.95%,10.94%,19.73%,6.24%,33.86%,29.24%
80307644,Great Benifits  Welcoming management  i felt like everyone really cared and loved the company. HR can be distant  intern pay was alright,POSITIVE,99.89%,44.77%,16.48%,8.11%,17.93%,12.70%
80261873,Cheap Cost of Living was nice Have to live in the worst areas,NEGATIVE,99.05%,27.35%,28.22%,7.54%,17.59%,19.31%
80243623,Stable company Good company culture Very American if that is a con for you Advice to Management:None,POSITIVE,99.82%,0.78%,4.13%,5.57%,85.12%,4.41%
80190419,- Multinational structure - Flexible working hours - Salaries paid on time - Toxic work environment - Foreign top line disconnect - High workforce turnover Advice to Management:- Improve new staff onboarding - Provide internal policies implementation guidelines - Top management should keep their promises,POSITIVE,99.42%,17.00%,37.84%,21.34%,7.35%,16.47%
79898935,- Manager/Directors there is great - People are very friendly - Chill culture  but they are driven in their work - Good exposure to M&A / JV investments - Team is a bit small  so you might do things outside of just working on M&A/JV deals,POSITIVE,99.89%,1.40%,18.43%,5.41%,62.30%,12.48%
79418620,Good pay and benefits. Management was good. As a contractor  term was too short.,POSITIVE,99.87%,88.88%,3.09%,2.58%,1.33%,4.11%
79418463,Good pay and good benefits HR will throw you under the bus,POSITIVE,99.85%,91.53%,1.71%,2.85%,0.96%,2.95%
79396283,Good management  good workplace  good location no growth opportunity  no salary rowth opportunity,POSITIVE,99.87%,7.09%,10.63%,54.94%,5.12%,22.22%
79346084,Management treated employees well and it was laid back. Limited to specific areas within the state.,POSITIVE,99.87%,5.95%,40.37%,12.63%,18.05%,22.99%
79124100,good company to work for. nothing to say about it.,POSITIVE,99.88%,6.05%,23.41%,17.66%,29.39%,23.49%
79028705,- Great benefit - Great work-life balance - Nice people to work with - World-class platform for Food and Nutrition - The politics in some part of the company can make the environment real toxic and drive away people who are truly talented. - Re-structuring of the organization every few years makes inconsistency of a lot of initiatives and projects,POSITIVE,99.88%,12.82%,83.34%,1.40%,1.08%,1.36%
78999280,Great Company to work  respectfull no cons from my end,POSITIVE,99.89%,6.16%,34.78%,7.85%,24.59%,26.62%
78935125,Good place to work nice benefits Too much politics to handle. Headquaters,POSITIVE,99.71%,42.05%,18.97%,8.54%,8.77%,21.67%
78528437,Great People!!!!! Like no other!!! Very comfortable  family oriented community in the town of Enderlin. GREAT PAY. FLEXIBILITY. Really grow in a secure career. Very competitive overall people wanna see you win and grow there. Got to have a solid plan if you not from those parts. Lots of driving and back and forth commuting for shelter. Overall company is great no cons on their end. Advice to Management:Room and board for out of town people.,POSITIVE,99.89%,30.15%,19.58%,34.43%,4.38%,11.46%
78487350,The pay was pretty alright Expect to have no autonomy or respect. You will be owned by them if you work for them. Advice to Management:Respect your employees and drop the swing shift.,NEGATIVE,99.95%,19.69%,27.56%,9.50%,27.10%,16.15%
78407479,Involve in large capital projects looking for a permanent role,POSITIVE,99.78%,3.25%,3.61%,12.05%,3.40%,77.69%
80039787,Career opportunity - offer growth  skill development  stability  networking  recognition  benefits  challenging work  mentorship  and long-term prospects for employees. Bureaucratic company  so with a lot of rules  and formal procedures  offering stability but potentially hindering adaptability and innovation.,POSITIVE,99.84%,12.89%,14.72%,18.69%,9.04%,44.66%
80165142,ADM creates great products for food and beverages. If you do not promote yourself and bring attention to what you contribute to the company  you may not get promoted as you should. Advice to Management:Understand what your employee contributes to the company and recognize their efforts.,POSITIVE,99.86%,6.41%,19.15%,18.94%,22.38%,33.12%
80055934,Decent pay for work - easy work Hiring was through knowing someone who already worked there on the most part.,POSITIVE,99.88%,57.24%,12.84%,11.68%,7.00%,11.23%
79988591,Pay increases and get to learn Very old school  mostly men and the culture revolves around men. Women are stuck in lower roles.,POSITIVE,99.72%,11.80%,3.04%,3.03%,75.99%,6.14%
79888369,Good people at the hourly level They can be frugal with money,POSITIVE,99.88%,18.34%,27.30%,15.08%,21.70%,17.58%
79246887,Work is looking good now Pay should be alot higher,POSITIVE,99.85%,47.23%,6.96%,8.28%,3.21%,34.32%
79121254,Decent benefits and compensation  steady work. Work Life balance. Antiquated facilities. Antiquated equipment You are just a number. Advice to Management:Look at the operational environment that production has to deal with.,POSITIVE,99.59%,61.30%,15.95%,17.11%,0.97%,4.67%
80030186,Good pay Good hours Frequent Raises and benefits Management favors certain employees Techniques/Rules vary by person,POSITIVE,99.88%,77.71%,6.89%,6.12%,3.36%,5.92%
80022145,The pay is competitive  benefits are good  start with 3 weeks of vacation. Very old plant  and equipment.,POSITIVE,99.88%,65.72%,12.62%,14.31%,2.12%,5.23%
