username,rating,date,id,consolidated_feedback,subjectivity,polarity,score
"Recruiter in Albany, GA",3,2023-10-16T00:00:00.000Z,80993808,Pays Well  Decent pay Good benefits Work with limited supervision  No organization No advancement Little to no leadership engagement,0.47738095238095235,0.1519345238095238,positive
"Team Lead in Colton, CA",4,2023-10-14T00:00:00.000Z,80946228,"Leadsperson at Colton Terminal  good benefits time off, holidays  work environment can be negative at times",0.5,0.19999999999999998,positive
"Process Engineer in London, England",4,2023-10-02T00:00:00.000Z,80576157,"Process Engineer at ADM  Amazing people, Career growth opportunities and good access to training for professional development  Work culture could be better, Salary could be better",0.52,0.4800000000000001,positive
"Anonymous Employee in Erith, England",3,2023-09-27T00:00:00.000Z,80466968,"Beware  Exposure to global world of agriculture from one of the biggest players  Backwards technology, accounting and anything related to IT. Refusal to adapt technology and modern methods of tracking data creating spirals of issues and inefficient use of time from high level managers to junior roles",0.31,0.09,positive
"Prep Operator in Lincoln, NE",3,2023-12-03T00:00:00.000Z,82285280,"Overall experience starting from bottom to here/straight rotations  Money, overtime, requirements, white, timeoff  Lack of training, rotating shifts Advice to Management:Add sick time off instead of point system. Additional pay based off experience i.e relief pay is slightly less than main operator. More pay for those in extraction due to overall risk to hazardous material(haxane exposure)",0.31321428571428567,0.02607142857142857,positive
"Scale Operator in Grand Ledge, MI",3,2023-11-29T00:00:00.000Z,82194741,Descent  Different type of job environment  Hours were 12-14 hours daily,0.3,0.0,neutral
Property Administrator,5,2023-11-14T00:00:00.000Z,81815493,Excellent  Good environment Good people Easy to find shop to eat  Far from home No public transport,0.6833333333333332,0.4888888888888889,positive
Student Worker,5,2023-11-11T00:00:00.000Z,81742329,Steam time  Friendly environment to work in  Plant looks little old and dusty,0.44999999999999996,-0.02812500000000001,negative
"Marketing Intern in Erlanger, KY",4,2023-11-01T00:00:00.000Z,81450206,"Decent company, no upward mobility  Teams are great, people are great, given real work to do, contributing to a team as an intern  Upward mobility is hard to find in Erlanger, RTO is poorly managed (empty office most days)",0.5760416666666667,0.20937499999999998,positive
"Production Engineer in Decatur, IL",4,2023-10-31T00:00:00.000Z,81423164,"Good Company, Pay is Not Competitive  It is a good company to work for, they have a lot of opportunity to learn and grow. A lot of opportunities to be hands on. Relocation and housing is paid for.  Technologically behind and the manufacturing areas. The pay is not as competitive compared to other companies in the same industry. So much nepotism when it comes to the interns that are hired and that some person in their family is a higher up in a location.",0.44285714285714295,0.18928571428571428,positive
"Reliability Engineer Intern in Decatur, IL",4,2023-10-09T00:00:00.000Z,80803312,"Depends  Lots of room for growth within  Unorganized large company, bad locations",0.5476190476190476,-0.24285714285714277,negative
"Chemical Compounder in Erlanger, KY",1,2023-10-07T00:00:00.000Z,80742698,"If you like being treated bad, this is the place  Some of the people you work with are great and you can end up with new friendships, the money is solid  The money is solid because you are working constantly and have no time to spend it. Management does not care about you, they care about themselves and treat you as easily replaceable trash. Pizza parties are your reward for record profits, while upper management gets bonuses and raises. You are accosted and shunned if you make the slightest mistake, and somebody else gets praised if you do something well. Advice to Management:Lower management should be forced to work the floor and see what hourly workers do daily and keep that in their heads, upper management should take a short walk off a long pier because they're just yes people who don't care about those beneath them, just the bottom dollar",0.31829836829836833,0.024592074592074607,positive
"Data Engineer in Decatur, IL",4,2023-10-06T00:00:00.000Z,80721237,One of the Best  The team is nvironment is excellent.  No downsides in my observation,0.65,1.0,positive
Sales & Marketing Trainee in Eppelheim,5,2023-10-02T00:00:00.000Z,80588385,"International program full of opportunities  International experience, mid/top management exposure, cross-business overview  Program could be better strucutred",0.2625,0.2125,positive
Application Technologist,4,2023-12-14T00:00:00.000Z,82591195,Good has potential to be great  Good company culture and interesting products.  Unnecessary business structures and slow to make decisions Advice to Management:Be open to new ideas and new ways of thinking,0.615909090909091,0.22727272727272724,positive
"Account Coordinator in Cincinnati, OH",5,2023-12-12T00:00:00.000Z,82526884,"Good place to work  Good pay, flexibility, management cares in most departments  Corporate bureaucracy, can be slow moving up",0.42000000000000004,0.31999999999999995,positive
Intern in Ho Chi Minh City,5,2023-12-08T00:00:00.000Z,82433681,"Great experience  Good learning path towards agriculture & aquaculture and their application in business, friendly colleagues, central office  Didn't think of anything. So far so good.",0.6166666666666667,0.4458333333333333,positive
"Director Procurement in Decatur, IL",3,2023-11-30T00:00:00.000Z,82206356,"Solid but highly stressful environment  Solid, safe and offers great opportunities to learn.  Understaffed and super competitive, resulting in a stressful working environment.",0.37952380952380954,0.2704761904761905,positive
"Accountant in Decatur, IL",4,2023-11-13T00:00:00.000Z,81770729,"Review  Big corporation, a lot of knowledge.  Too low rises because the whole company is evaluated. Advice to Management:Manage regionaly",0.26666666666666666,0.06666666666666667,positive
"Process Coordinator in Decatur, IL",5,2023-11-06T00:00:00.000Z,81594619,Contractor for ADM  friendly and open environment with options for networking  not as much pay as a contractor,0.39999999999999997,0.19166666666666665,positive
Production Operator,5,2023-10-28T00:00:00.000Z,81354946,Great  All around good place to work.  I was let go. And wish I didn't let car and legal issues get in my way. All been taken care of since.,0.5166666666666667,0.5666666666666667,positive
Data Analyst,4,2023-10-28T00:00:00.000Z,81343359,Overall good place to work  Payed well Good benefits Lots of opportunity  Overwhelming for entry level position,0.55,0.475,positive
"Production Supervisor in Nebraska City, NE",4,2023-10-26T00:00:00.000Z,81305617,"Okay to work for  Of the few pro's the benefits package takes the cake.  Of them many downsides, the inconsistency of the industry leaves much to be desired. Fake family atmosphere. Advice to Management:Be better with people.",0.4666666666666666,0.16666666666666666,positive
"Trader in Chicago, IL",4,2023-10-26T00:00:00.000Z,81282976,great place  good colleagues great culture challenging work  management can be abit stiff,0.72,0.5171428571428571,positive
Material Handler,1,2023-10-21T00:00:00.000Z,81153068,Nah  Decent pay Paid overtime in Ag  No chance for promotion No education opportunity Unstable management Poor safety Micromanagement Advice to Management:Let people do their jobs and be honest with your workers.,0.7222222222222222,0.12222222222222219,positive
Project Manager,2,2023-10-19T00:00:00.000Z,81108629,Passive aggressive culture  Encouraged cross functional team work.  Lack of new hire training. Lack of empathy. Huge generation gap. Very passive aggressive culture. Very little to no diversity. Advice to Management:Actually implement training for new employees. Agribusiness is a field that is very intricate and in depth training would help employees to understand their roles and the business fundamentals.,0.437012987012987,0.11842532467532466,positive
Talent Acquisition Specialist in Singapore,4,2023-10-19T00:00:00.000Z,81077006,"Opportunities aplenty  Fantastic culture of open communication upwards/downwards and cross-functionally. Cultural melting pot with more than 20 nationalities which allows for multiple perspectives - overall positive win for cross collaboration.  Processes can get muddy and non-existent at times, but therein lies the opportunity to establish things from scratch. Advice to Management:Continue the good work of engaging with your employees!",0.38595041322314044,0.29338842975206614,positive
"Process Improvement Engineer in Erlanger, KY",4,2023-10-17T00:00:00.000Z,81028206,"Good company, I hate the red tape  Chill work life balance, good benefits, interesting projects  Some managers need to be fired since they are creating problems that other departments have to clean up",0.525,0.19166666666666665,positive
Runner,4,2023-09-28T00:00:00.000Z,80500302,Love it  Love it! Glad to be here  Work to much. Schedule should be different,0.6000000000000001,0.365,positive
Graduate Trainee in Hamburg,5,2023-09-27T00:00:00.000Z,80452201,Good company  They care about their employees  You have to show interest to grow inside,0.6000000000000001,0.7,positive
"Process Engineer in Clinton, IA",5,2023-09-26T00:00:00.000Z,80430418,"Good job out of college  nice people and upward mobility  overworked lots of learning on the job, high tolerance for risk",0.7133333333333334,0.4866666666666666,positive
Finance Manager,5,2023-09-18T00:00:00.000Z,80185237,"Good place to work in  Good people to work with.  Business is inherently cyclical, struggling with integrations of acquisitions and monetising them.",0.6000000000000001,0.7,positive
"Anonymous Employee in Erlanger, KY",3,2023-09-17T00:00:00.000Z,80152433,"Behind the curve  Company employs some great people, and offers a flexible work schedule.  struggling on tech & data integration for all its businesses. Advice to Management:Needs reorg and new leadership to help drive change",0.47613636363636364,0.1590909090909091,positive
"Anonymous Employee in Winnipeg, MB",2,2023-09-08T00:00:00.000Z,79881657,"Would not go back  Large company, opportunities if willing to leave regional area.  Company is very large so the small regions get forgotten about. If you aren't a buyer, you aren't a priority. Staff weren't to interested about supporting moving around in the company.",0.4122448979591837,0.14183673469387756,positive
"Machine Operator in Calgary, AB",1,2023-09-07T00:00:00.000Z,79861645,Nightmare workplace  Nothing is positive at that place  Toxic workplace to work there Advice to Management:Change plant management,0.5454545454545454,0.22727272727272727,positive
Mill Superintendent,4,2023-08-09T00:00:00.000Z,78989001,"Great Learning Opportunity  - great opportunity to learn, grow, and advance in the career if willing to move/switch roles every 2 to 3 years - great people: always willing to help/teach/mentor  - Salary growth very slow if are not able to move around to different locations/roles and is a source of frustration for HIPO employees when compared relative to market: end up leaving - Work/Life balance can be challenging to maintain due to age of the facilities and how much needs to get done Advice to Management:- EC needs to prioritize employees that have stuck around with ADM: reviewing their compensation relative to the market - need a more structured process for merit and compensation reviews.",0.5407142857142857,0.23821428571428574,positive
Director in Nairobi,4,2023-07-31T00:00:00.000Z,78732341,"Nice place to work  performance driven culture, work ethic, ability to execute  Too many senior leaders at the top few people working",0.525,0.35000000000000003,positive
"Forklift Operator in Erlanger, KY",5,2023-07-31T00:00:00.000Z,78713733,"Forklift Operator  Great place to work for!  Overtime, if you are not interested in extra hours.",0.45,0.2916666666666667,positive
"Anonymous Employee in Decatur, IL",4,2023-07-25T00:00:00.000Z,78574638,"Good environment  Close to home, free parking  Not challenging enough for me",0.7250000000000001,0.21250000000000002,positive
Buyer,5,2023-07-25T00:00:00.000Z,78552951,great place to work  very well rounded place of employment  need to increase pay towards employees,0.525,0.5,positive
"Shift Supervisor in Cedar Rapids, IA",4,2023-07-24T00:00:00.000Z,78535627,"Ok Company  Safety culture is fanatic and good pay.  You have to be part of a small group to be promoted. Advice to Management:Develop people, Values people",0.5750000000000001,0.16249999999999998,positive
Intern,1,2023-09-18T00:00:00.000Z,80167501,not good for growth..  - chill culture - work-life balance - nice office  - too chill that there's no space for personal growth or value adding at all - not good for someone looking to learn - don't really care about their interns and treat them like cheap labour - super exclusive,0.580952380952381,0.11904761904761904,positive
Internship in Rolle,4,2023-09-25T00:00:00.000Z,80375621,Internship  Environment encourages you to not be afraid to make mistakes while you learn new things  Stressful job and work-life balance could be improved Advice to Management:Hire a coach for employees,0.6772727272727272,-0.2318181818181818,negative
"Production in Fort Collins, CO",1,2023-09-23T00:00:00.000Z,80345685,"This company takes a toll on health  Three day weekends; early quitting time.  If I could give a 0 on company culture, I would; this company is the very definition of toxic work environment. Favoritism; sexual harassment; and bullying, up to and including throwing work items at staff who ask job-related questions and name calling (all of the above happened to me) are condoned and nothing is done to hold Operators and Leads accountable for how they treat those individuals working below them. I was constantly walking on eggshells wondering when the next comment or unethical behavior was going to occur. Advice to Management:There is no advice; if ADM wanted to change its culture, it would have done so a long time ago.",0.3238095238095238,0.10714285714285714,positive
"Production in Memphis, TN",1,2023-09-22T00:00:00.000Z,80328950,Disorganized  None that I can think of  Lots of rats and no management direction. Dangerous and unsafe.,0.9,-0.6,negative
"Audit Intern in Decatur, IL",4,2023-09-21T00:00:00.000Z,80307644,"Audit Intern Review  Great Benifits, Welcoming management, i felt like everyone really cared and loved the company.  HR can be distant, intern pay was alright",0.525,0.39999999999999997,positive
"Commercial Trainee in Decatur, IL",2,2023-09-20T00:00:00.000Z,80261873,It was ok  Cheap Cost of Living was nice  Have to live in the worst areas,0.74,0.12727272727272726,positive
Senior Internal Auditor in Hamburg,4,2023-09-20T00:00:00.000Z,80243623,Good employer  Stable company Good company culture  Very American if that is a con for you Advice to Management:None,0.4000000000000001,0.4666666666666666,positive
Finance Controller in Lagos,3,2023-09-18T00:00:00.000Z,80190419,ADM Nigeria Work Experience  - Multinational structure - Flexible working hours - Salaries paid on time  - Toxic work environment - Foreign top line disconnect - High workforce turnover Advice to Management:- Improve new staff onboarding - Provide internal policies implementation guidelines - Top management should keep their promises,0.35325757575757577,0.19522727272727272,positive
Corporate Development Intern in Singapore River,5,2023-09-08T00:00:00.000Z,79898935,"GREAT EXPERIENCE  - Manager/Directors there is great - People are very friendly - Chill culture, but they are driven in their work - Good exposure to M&A / JV investments  - Team is a bit small, so you might do things outside of just working on M&A/JV deals",0.5333333333333333,0.4229166666666668,positive
"Reliability Engineer in Cedar Rapids, IA",4,2023-08-23T00:00:00.000Z,79418620,"Good place to work  Good pay and benefits. Management was good.  As a contractor, term was too short.",0.525,0.5249999999999999,positive
"Product Manager in Chicago, IL",3,2023-08-23T00:00:00.000Z,79418463,All good  Good pay and good benefits  HR will throw you under the bus,0.6000000000000001,0.6999999999999998,positive
Accountant,3,2023-08-23T00:00:00.000Z,79396283,"BB  Good management, good workplace, good location  no growth opportunity, no salary rowth opportunity",0.6000000000000001,0.6999999999999998,positive
"Grower Relations Associate in Bay City, MI",5,2023-08-21T00:00:00.000Z,79346084,ADM  Management treated employees well and it was laid back.  Limited to specific areas within the state.,0.08928571428571429,-0.023809523809523808,negative
Anonymous Employee,5,2023-08-14T00:00:00.000Z,79124100,good company  good company to work for.  nothing to say about it.,0.6000000000000001,0.7,positive
"Research Engineer in Decatur, IL",4,2023-08-10T00:00:00.000Z,79028705,"Overall a great platform, but it's frustrating how slow things get done  - Great benefit - Great work-life balance - Nice people to work with - World-class platform for Food and Nutrition  - The politics in some part of the company can make the environment real toxic and drive away people who are truly talented. - Re-structuring of the organization every few years makes inconsistency of a lot of initiatives and projects",0.585,0.3,positive
"Gerente compras, logistica y almacen",5,2023-08-09T00:00:00.000Z,78999280,"ADM  Great Company to work, respectfull  no cons from my end",0.75,0.8,positive
"Process Engineer in Decatur, IL",4,2023-08-07T00:00:00.000Z,78935125,Good Place to work  Good place to work nice benefits  Too much politics to handle. Headquaters,0.6000000000000001,0.55,positive
"Loader/Unloader in Enderlin, ND",5,2023-07-24T00:00:00.000Z,78528437,"Great Career  Great People!!!!! Like no other!!! Very comfortable, family oriented community in the town of Enderlin. GREAT PAY. FLEXIBILITY. Really grow in a secure career. Very competitive overall people wanna see you win and grow there.  Got to have a solid plan if you not from those parts. Lots of driving and back and forth commuting for shelter. Overall company is great no cons on their end. Advice to Management:Room and board for out of town people.",0.42678571428571427,0.40300502232142854,positive
"Quality Assurance in Decatur, IL",1,2023-07-22T00:00:00.000Z,78487350,No work-life balance  The pay was pretty alright  Expect to have no autonomy or respect. You will be owned by them if you work for them. Advice to Management:Respect your employees and drop the swing shift.,1.0,0.25,positive
Project Manager,5,2023-07-19T00:00:00.000Z,78407479,Great  Involve in large capital projects  looking for a permanent role,0.5892857142857143,0.5071428571428571,positive
Research and Development Manager,3,2023-09-13T00:00:00.000Z,80039787,"Working at ADM  Career opportunity - offer growth, skill development, stability, networking, recognition, benefits, challenging work, mentorship, and long-term prospects for employees.  Bureaucratic company, so with a lot of rules, and formal procedures, offering stability but potentially hindering adaptability and innovation.",1.0,0.25,positive
"Director in Erlanger, KY",5,2023-09-18T00:00:00.000Z,80165142,"Good company to work for  ADM creates great products for food and beverages.  If you do not promote yourself and bring attention to what you contribute to the company, you may not get promoted as you should. Advice to Management:Understand what your employee contributes to the company and recognize their efforts.",0.675,0.75,positive
"Lab Technician in Erith, England",3,2023-09-14T00:00:00.000Z,80055934,Ok  Decent pay for work - easy work  Hiring was through knowing someone who already worked there on the most part.,0.625,0.4,positive
"Associate - Junior Trader in London, England",2,2023-09-12T00:00:00.000Z,79988591,"So old school  Pay increases and get to learn  Very old school, mostly men and the culture revolves around men. Women are stuck in lower roles.",0.32,0.24333333333333332,positive
Environmental Specialist,4,2023-09-08T00:00:00.000Z,79888369,Good work  Good people at the hourly level  They can be frugal with money,0.6000000000000001,0.7,positive
"Project Manager in Clinton, IA",5,2023-08-17T00:00:00.000Z,79246887,Ok  Work is looking good now  Pay should be alot higher,0.5333333333333333,0.48333333333333334,positive
Senior Electrical Engineer,1,2023-08-14T00:00:00.000Z,79121254,"Just a number  Decent benefits and compensation, steady work.  Work Life balance. Antiquated facilities. Antiquated equipment You are just a number. Advice to Management:Look at the operational environment that production has to deal with.",0.5833333333333333,0.16666666666666666,positive
Assistant Chemist,3,2023-09-13T00:00:00.000Z,80030186,Good until it wasn't  Good pay Good hours Frequent Raises and benefits  Management favors certain employees Techniques/Rules vary by person,0.5342857142857144,0.4828571428571428,positive
"Maintenance in Memphis, TN",3,2023-09-13T00:00:00.000Z,80022145,"Maintenance advancement.  The pay is competitive, benefits are good, start with 3 weeks of vacation.  Very old plant, and equipment.",0.43000000000000005,0.415,positive
Manager,2,2023-09-12T00:00:00.000Z,79990657,Big Corporation  Good Benefits and decent pay  You are just a number Advice to Management:Cover yourself and get everything in writing,0.45555555555555555,0.28888888888888886,positive
Forklift Operator,1,2023-09-09T00:00:00.000Z,79911951,"Can do better  Monday through Friday and paid lunch.  Low pay, lack of appreciation, and incompetent people in management.",0.3888888888888889,0.05000000000000001,positive
"Feedhouse utility in Decatur, IL",4,2023-09-08T00:00:00.000Z,79897218,Load rail cars  Basically just the pay and benefits  Terrible foremans that know nothing Advice to Management:Fire all foremans and let the people that know the jobs run it,1.0,-1.0,negative
"Candidate Care Coordinator in Decatur, IL",5,2023-09-04T00:00:00.000Z,79766211,"Work Life Balance  Remote, schedule flexibility, career opportunities, fair pay  Large company- can be confusing on who to ask for help Advice to Management:More up front training about the offerings ADM has in their benefit package",0.4821428571428572,0.12857142857142856,positive
"Project Analyst in Ohio City, OH",5,2023-09-03T00:00:00.000Z,79734616,Great Company  Flexibility Compensation Benefits 401(k) Education Reimbursement  NA Ive enjoyed my time at ADM,0.725,0.65,positive
Administrative Assistant,4,2023-08-24T00:00:00.000Z,79442169,Fine  Friendliness of staff and managers  Not enough chances to progress higher,0.5,0.22222222222222224,positive
Dispatcher,4,2023-08-18T00:00:00.000Z,79273758,GREAT PLACE TO MAKE MONEY  This place will set you and your family up for a lifetime. There is ample space and opportunity to grow within the company.  Its an unsafe environment. People aren't looking out for people. The corn dust inhaled is potentially Hazardous Advice to Management:Be more personal you were in our position once. Encourage us to grow with the company and not just treat us like production slaves.,0.6124999999999999,0.475,positive
"Supervisor in Decatur, IL",3,2023-08-03T00:00:00.000Z,78836779,Stressful but good pay  Good pay Good benefits Good safety culture  Stress Poor training Poor management,0.6000000000000001,0.3333333333333333,positive
Project Modeling Intern,5,2023-07-21T00:00:00.000Z,78465752,Good Place  Nice community. Develop as a person.  Not really any cons for this.,0.6,0.3999999999999999,positive
Production,1,2023-07-18T00:00:00.000Z,78379231,Production  Pay and benefits are alright  Crap talking isn't worth it. Work environment is hell . All about numbers.,0.45,-0.25,negative
Finance Intern,5,2023-07-11T00:00:00.000Z,78144109,"Experience  ADM is a leader in global nutrition, charged with the goal of unlocking nature and enriching life.  So far, ADM is doing a great job and can definitely do better.",0.5625,0.35,positive
"Accountant in Decatur, IL",4,2023-07-10T00:00:00.000Z,78130179,"Accountant  flexible, engagement, activities, fitness center  The training could be better",0.3,0.2,positive
"Utility Operator in Clinton, IA",3,2023-07-09T00:00:00.000Z,78094913,Good people bad workplace  Pay People Workload(MOSTLY) Room for pay advancement  Rotating 12 hour shifts SUCK Slightly understaffed Management disconnect Advice to Management:Please change work schedule its terrible in all aspects,0.6083333333333334,-0.29166666666666663,negative
"IT Architecht in Erlanger, KY",3,2023-06-29T00:00:00.000Z,77836494,ADM IT  Descent Pay and very big company  To large to track t he progress Advice to Management:Overall very big organization and not agile,0.35964285714285715,-0.008928571428571432,negative
Sales Manager,5,2023-06-10T00:00:00.000Z,77248517,Best Company ever  They are employee centric They make life easy with digital tools  Improve process timeline to increase productivity,0.30833333333333335,0.35833333333333334,positive
"Laborer in Mendota, IL",3,2023-06-05T00:00:00.000Z,77097521,"Entry level  Great insurance and overtime opportunities  Long hours, poor working conditions Advice to Management:Make employees feel noticed",0.5833333333333334,0.11666666666666665,positive
Field Inspector in Adelaide,4,2023-05-30T00:00:00.000Z,76926867,ADM  Good pay for entry positions  Likely to have high intensity days,0.7133333333333334,0.2866666666666667,positive
Anonymous Employee,4,2023-05-23T00:00:00.000Z,76704045,Mutual respect  There was mutual respect and understanding. A nice place to work.  There is no cons for me.,1.0,0.6,positive
"HR Professional in Dublin, Dublin",3,2023-05-22T00:00:00.000Z,76651707,Solid  Nice company and culture Good management  Job can be a bit boring,0.675,0.07499999999999996,positive
"Director in London, England",3,2023-07-17T00:00:00.000Z,78313723,Good Company  Seem to be a relatively stable company  Can be a bit disorganised,0.30000000000000004,0.35,positive
Environmental Engineer in Hamburg,3,2023-06-30T00:00:00.000Z,77857835,Great management  Helpful manager Great food Good team work  Mundane tasks Politics higher ups,0.5533333333333333,0.4766666666666667,positive
"Lab Technician in Decatur, IL",2,2023-07-15T00:00:00.000Z,78283385,"Terrible Job  There are few pros, at best they provide lunch and breakfast affordably.  Poor benefits, bait-and-switch positions, disorganized upper management, little to no proper training or communication, given massive amounts of work with little time to complete it, HR is petty and plays favorites, pay is not reasonable for expectation of responsibility. Advice to Management:Stop treating employees as disposable servants. Stop hiring en masse while being in a hiring freeze and making budget cuts that cut good employees while you're raking in billions per year.",0.4749999999999999,-0.02291666666666667,negative
"Research Scientist in Decatur, IL",4,2023-07-13T00:00:00.000Z,78236641,Good place to work  Good company with inclusive culture  Hard to get projects started Advice to Management:Someone needs to make decisions on project selection. Too many projects go nowhere,0.5604166666666667,0.4020833333333333,positive
Operator 2,5,2023-07-07T00:00:00.000Z,78046150,"Awesome  Great Pay, benefits, and promotions  Alot of drama between coworkers",0.875,0.9,positive
"Technician in Chicago, IL",4,2023-06-22T00:00:00.000Z,77625330,great place  great place to work at  very long hours and pay can be better,0.63,0.50875,positive
Machine Operator,5,2023-06-06T00:00:00.000Z,77118297,Yes  My experience 14 years pharmacitcals industry medicine manufacturing  Yes I'm interested work and Advice to Management:I'm interested work and I'm honest work anytime,0.6333333333333333,0.3666666666666667,positive
Analyst in Singapore,2,2023-06-06T00:00:00.000Z,77108115,Retirement Job  Work life balance is good  No opportunity for advancement or growth,0.6000000000000001,0.7,positive
Sales Associate,5,2023-06-04T00:00:00.000Z,77067264,"good, and want to bigger challenge  assist the MES to be on line.  a new and fresh tech company",0.5136363636363637,0.28409090909090906,positive
Team Leader,2,2023-06-02T00:00:00.000Z,77026311,Would not recommend.  Decent pay and Benefits. The work I was doing was not bad.  Very Poor management and how they handle business.,0.7044444444444444,-0.0011111111111111367,negative
Lab Technician,1,2023-06-02T00:00:00.000Z,77020649,"Don't bother, it's a corperate swamp.  None that I could see  ""All for Juan and none for all"" For real, don't bother, they'll take every idea you have while dragging you on, then terminate your position when you give them your notice. Advice to Management:Quit, you're terrible at it.",0.65,-0.4,negative
"Process Operator in Decatur, IL",2,2023-06-02T00:00:00.000Z,77015079,"Too many layoffs  Pay is good for the area  I have worked here for 10 years and have seen 6 different layoff events in that time, too stressful and always worried about your job",0.5666666666666668,0.39999999999999997,positive
